,ชื่อสินค้า,หมวดหมู่
0,ແຈ່ວເສສວນຍົກໂປ້150g,ເຄື່ອງປຸງ
1,ແຈ່ວເສສວນຈຸ່ມປາ185g,ເຄື່ອງປຸງ
2,ເສັ້ນມັນດ້າງແດງ240g,ເຄື່ອງແຫ້ງ
3,ເຫັດເຂັມຖົງຂຽວ,ເຫັດ-ສາຫຼ່າຍ
4,ພິກໄທປົ່ນ ຈັນທະບູລີ30ກຼາມ,ເຄື່ອງປຸງ
5,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ,ອາຫານສຳເລັດຮູບ
6,ແປ້ງໂກກິ 150ກຼາມ,ເຄື່ອງປຸງ
7,ກ້ຽວ500g,ອາຫານແຊ່ແຂງ
8,ປາກະປ໋ອງແປ 125ກ,ເຄື່ອງແຫ້ງ
9,ແຈ່ວເສສວນນ້ຳມັນກຸ້ງ 150g,ເຄື່ອງປຸງ
10,ຟອງເຕົາຫູ້ຖົງຂຽວ,ເຄື່ອງແຫ້ງ
11,M150,ເຄື່ອງດື່ມ
12,ແຈ່ວເສສວນຈີນງົວເຂັ້ມຂຸ່ມ 150g,ອາຫານສຳເລັດຮູບ
13,ເສັ້ນມັນດ້າງຈຸ່ມເສັ້ນແປ250g,ເຄື່ອງປຸງ
14,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່),ນໍ້າແຈ່ວ
15,ແປ້ງນົວກາຖ້ວຍ 250g,ເຄື່ອງປຸງ
16,pfpເຕົ້າຫູ້ປາລູກເຕົາ 500g,ອາຫານແຊ່ແຂງ
17,ກາໂຕະລົດສະຕໍເບີລີ320ml,ເຄື່ອງດື່ມ
18,PFP ເຕົ້າຮູ້ຊີດ500g,ອາຫານແຊ່ແຂງ
19,ຟ້າໄທນໍ້າໃສ 350ມລ,ເຄື່ອງປຸງ
20,ກາໂຕະລົດລີ້ນຈີ່320ml,ເຄື່ອງດື່ມ
21,ຊິ້ນໝູສາມຊັ້ນ,ຊີ້ນສົດ
22,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ,ຊີ້ນແພກແບຣນ
23,ກະປິຫມາກນາວ 200ກຼາມ,ອາຫານສຳເລັດຮູບ
24,ແຈ່ວຄຸນນັດ250g,ນໍ້າແຈ່ວ
25,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ),ນໍ້າແຈ່ວ
26,NVນົມສະໄລ້A300ກຼາມ,ອາຫານແຊ່ແຂງ
27,ຊີ້ນສັນຄໍໝູສະໄລ້ WF(TS) 500 ກຣາມ,ຊີ້ນແພກແບຣນ
28,ປູອັດເບັນໂຕະ 250ກຮາມ,ອາຫານແຊ່ແຂງ
29,Mfoodແຈ່ວຊີຟູດ,ນໍ້າແຈ່ວ
30,ສັນນອກໝູ,ຊີ້ນສົດ
31,ປູອັດTVI500g,ອາຫານແຊ່ແຂງ
32,ຕີນໝູຕັດ,ຊີ້ນສົດ
33,ແປ້ງນົວ250ກຮາມ,ເຄື່ອງປຸງ
34,ເກັກຮວຍປ່ອງແດງ,ເຄື່ອງດື່ມ
35,ຜັກບົ້ງ 300ກຼາມ,ຜັກປອດສານພິດ
36,NVເສືອຮ້ອງໄຫ້ແພັກສະໄລ 300g,ອາຫານແຊ່ແຂງ
37,ຊອດຫອຍແມ່ຄົວ 150 ມລ,ເຄື່ອງປຸງ
38,"ນໍ້າທິບ ແພັກໃຫຍ່ 1,5L",ເຄື່ອງດື່ມ
39,ໝູນຸ້ມໝັກພິກໄທດຳ 500g,ຊີ້ນແພກແບຣນ
40,ໄສ້ກອກລົດໄຟ700g,ອາຫານແຊ່ແຂງ
41,ສັນຄໍໝູສະໄລ້ WARP FREEZE 250 ກຣາມ,ຊີ້ນແພກແບຣນ
42,ລົດດີຜົງລົດໝູ70g,ເຄື່ອງປຸງ
43,ປາຊາບະຮົມຄວັນ 125ກຼາມ,ອາຫານແຊ່ແຂງ
44,NVເສືອຮ້ອງໄຫ້ອົດສະຕາລີ500g,ອາຫານແຊ່ແຂງ
45,ເຫັດຫິມະ 200g,ເຫັດ-ສາຫຼ່າຍ
46,ນ້ຳ​ປາ​ຫວຽດ750ml,ເຄື່ອງປຸງ
47,ກະແລ້ມກະທິ,ອາຫານສຳເລັດຮູບ
48,ລູກຊີ້ນເອັນ 500g,ອາຫານສຳເລັດຮູບ
49,ຄະນໍຜົງລົດໝູ 400g,ເຄື່ອງປຸງ
50,ຜັກກາດຂາວ,ຜັກປອດສານພິດ
51,ຫມູທອດ 1000g,ຊີ້ນແພກແບຣນ
52,ໝູນຸ້ມໝັກນ້ຳມັນງາ 500g,ຊີ້ນແພກແບຣນ
53,ສັນຄໍໝູ,ຊີ້ນສົດ
54,ເຫັດຫຼວງ500g,ເຫັດ-ສາຫຼ່າຍ
55,ນ້ຳຕານແດງ1kg,ເຄື່ອງປຸງ
56,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3,ໄກ່ - ໄຂ່
57,ປີກກາງຖົງ2kg,ອາຫານແຊ່ແຂງ
58,ກະດູກສັນຫລັງ,ຊີ້ນສົດ
59,ແຈ່ວພັນທ້າຍ 342 ກຼາມ,ນໍ້າແຈ່ວ
60,NVນົມໝູສະໄລ້A 500g,ອາຫານແຊ່ແຂງ
61,CP ຊຸດຈຸ່ມພີມ້ຽນ,ຜັກປອດສານພິດ
62,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g,ອາຫານແຊ່ແຂງ
63,ແຈ່ວສຸກີ້ແມ່ທອນ 500g,ເຄື່ອງປຸງ
64,ກະແລ້ມໝາກໜອດ,ອາຫານສຳເລັດຮູບ
65,ວິຕາມິນC ນ້ຳສົ້ມ,ເຄື່ອງດື່ມ
66,Mfoodແຈ່ວດາດ_ຈຸ່ມ500g,ນໍ້າແຈ່ວ
67,ແຈ່ວສຸກີ້ແມ່ທອນ 750g,ນໍ້າແຈ່ວ
68,ຊອດແມັກກີ້ 680ກຼາມ,ເຄື່ອງປຸງ
69,ໝູສາມຊັ້ນໝັກນ້ຳມັນງາ 500g,ຊີ້ນແພກແບຣນ
70,ກະດູກຂໍ້,ຊີ້ນສົດ
71,ເລ່ລົດໂມລິສະລາຍຖົງ44g,ເຂົ້າໜົມ
72,ສາມຊັ້ນໝັກເກືອ 1000g,ຊີ້ນແພກແບຣນ
73,AROເນື້ອປາດໍລີ້ສະໄລ່,ອາຫານແຊ່ແຂງ
74,ເສັ້ນດຳເປັນມັດ500g,ເຄື່ອງແຫ້ງ
75,Okimchi 300g,ອາຫານສຳເລັດຮູບ
76,NVໜອກສະໄລອົດສະຕາລີ300g,ອາຫານແຊ່ແຂງ
77,ຊີ້ນສາມຊັ້ນສະໄລ້ອານາໄມ 1000 ກຣາມ,ຊີ້ນແພກແບຣນ
78,TVIຄອມໂບຊີສບັນລວມ 500g,ອາຫານແຊ່ແຂງ
79,ຫມຶກເສັ້ນ1kg,ອາຫານແຊ່ແຂງ
80,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ,ຊີ້ນແພກແບຣນ
81,ບັດເຕີເຄັກກ່ອງ,ເຂົ້າໜົມ
82,ແຈ່ວສຸກີ້ ແມ່ຂ້ອຍ 500ກຼາມ,ແຈ່ວຊີ້ນດາດ - ຊີ້ນຈຸ່ມ
83,NV ຂາລາຍAUD 500g,ອາຫານແຊ່ແຂງ
84,ກະແລ້ມຖົ່ວດຳ,ອາຫານສຳເລັດຮູບ
85,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg,ອາຫານແຊ່ແຂງ
86,ຫາງໝູອານາໄມ FREEZE 1000 ກຣາມ,ຊີ້ນອານາໄມ
87,ເສັ້ນແກ້ວສະລ່າຍຄາວາ1000g,ເຄື່ອງແຫ້ງ
88,ປາຊາບະເປັນໂຕ 400ກຼາມ,ອາຫານແຊ່ແຂງ
89,ລຸກຊີ້ນຫມູ A ແພັກ 500 g,ອາຫານສຳເລັດຮູບ
90,Okimchi 500g,ອາຫານສຳເລັດຮູບ
91,ຊິ້ນສະໂພກໝູ (ຊິ້ນຂາຫລັງ),ຊີ້ນສົດ
92,ຊີ້ນໝູສາມຊັ້ນຕັດເສັ້ນ WF(TS) 500 ກຣາມ,ຊີ້ນແພກແບຣນ
93,ກະດູກຂ້າງໝູຕັດເສັ້ນ WF(TS) 500 ກຣາມ,ຊີ້ນແພກແບຣນ
94,ຜັກຫົມ 300ກຼາມ,ຜັກປອດສານພິດ
95,ນໍ້າປາ ກາປາມືກຂວດຢາງ700ມລ,ເຄື່ອງປຸງ
96,ແຈ່ວສຸກີ້ແມ່ທອນ 250g,ເຄື່ອງປຸງ
97,ເຕົາຫູ້ໄຂ່ ເກດ Aຖົງ10ອັນ,ໄກ່ - ໄຂ່
98,ເອິກໄກ່ຖົງໃສ2kg,ອາຫານແຊ່ແຂງ
99,ເລ່ກິ່ນກຸ້ງມັງກອນສະໄປຊີກ່ອງ100g,ເຂົ້າໜົມ
100,ຊິ້ນໝູບົດປົນມັນໝູ 20%,ຊີ້ນສົດ
101,ຫົວຫອມບົ່ວແດງ500g,ຜັກປອດສານພິດ
102,ແຈ່ວເສສວນງົວຫອມ150ກຮາມ,ເຄື່ອງປຸງ
103,ຮອດອກPPເຫລືອງໄກ່,ອາຫານແຊ່ແຂງ
104,ລູກຊີ້ນປາແຫຼມ,ອາຫານແຊ່ແຂງ
105,ໄສ້ຕັນໝູພັນອານາໄມ FREEZE 1000 ກຣາມ,ຊີ້ນອານາໄມ
106,ມິລິນດາຂຽວ1225ml,ເຄື່ອງດື່ມ
107,ກຸ້ງປອກເປືອກຜ່າຈົງຫາງ (26/30) 500g,ອາຫານແຊ່ແຂງ
108,ກະແລ້ມເຜືອກ,ອາຫານສຳເລັດຮູບ
109,ລູກຊີ້ນປາມຶກTVT500g,ອາຫານແຊ່ແຂງ
110,ປູອັດເບັນໂຕະ 500g,ອາຫານແຊ່ແຂງ
111,ປີກເຕັມໄກ່ເນື້ອອານາໄມ,ໄກ່ແພັກແບັນ
112,ໄຂ່ໄກ່ແພັກ 10 ຟອງ-ເບີ 0,ໄກ່ - ໄຂ່
113,ຍອດອ່ອນຕາວັນ,ຜັກ
114,ເຕົ້າ​ຫູ້​ປາTVI 500g,ອາຫານແຊ່ແຂງ
115,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WF(TS) 500 ກຣາມ,ຊີ້ນແພກແບຣນ
116,ນ້ຳມັນຫມູແພັກແບນ 1000g,ເຄື່ອງປຸງ
117,ສັນໃນໝູ ,ຊີ້ນສົດ
118,ຊິ້ນບ່າໄຫລ່ໝູ (ຊິ້ນຂາໜ້າ),ຊີ້ນສົດ
119,ກະດູກໃບພາຍ,ຊີ້ນສົດ
120,ຄະນໍໄກ່ກ້ອນ 20ກກ,ເຄື່ອງປຸງ
121,ເສັ້ນບູດົງ200g,ປະເພດ-ເສັ້ນ
122,ຍອດຜັກຫົມອອ່ນ,ຜັກ
123,ມິລິນດາແດງສະຕໍເບີລີ1225ml,ເຄື່ອງດື່ມ
124,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 2,ໄກ່ - ໄຂ່
125,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WRAP FREEZE 500 ກຣາມ,ຊີ້ນແພກແບຣນ
126,ເຕົາຫູ້ໄຂ່ ເກດ A,ອາຫານສຳເລັດຮູບ
127,ຄອນເນ່ຖົງ48g,ເຂົ້າໜົມ
128,ເທດໂຕ້ລົດສະລາຍຖົງ42g,ເຂົ້າໜົມ
129,ປາ​ກະ​ປ່ອງສາມ​ແມ່​ຄົວ93g,ອາຫານສຳເລັດຮູບ
130,ເຈ້ຍສິດຊູວິລາເປັນອັນ,ຢາສາມັນປະຈໍາບ້ານ
131,ລ້ອນສາຍຝົນ 70ກຼາມ,ເຄື່ອງແຫ້ງ
132,ໝີ່ໄວໄວຊ່ອງ ລົດດັ້ງເດີມ,ເຄື່ອງແຫ້ງ
133,ນໍ້າທິບກາງ 550ມລ,ເຄື່ອງດື່ມ
134,ຄະນໍກ້ອນລົດໝູ,ເຄື່ອງປຸງ
135,ເຕົາຮູ້ແຜ່ນ,ເຄື່ອງແຫ້ງ
136,ຄະນໍກ້ອນ ຕົ້ມຍຳ,ເຄື່ອງປຸງ
137,ສາຫຼ່າຍດຳ FUTAL,ເຄື່ອງແຫ້ງ
138,ຄະນໍລົດໝູຖົງ17g,ເຄື່ອງປຸງ
139,ປູອັດTVI 250ກຼາມ,ອາຫານແຊ່ແຂງ
140,ຜົ້ງ​ປີງ​ຈີນ100g,ເຄື່ອງປຸງ
141,ເຫັດຫອມ100g,ເຫັດ-ສາຫຼ່າຍ
142,ຫມູປີ້ງ 10ໄມ້  550g,ອາຫານສຳເລັດຮູບ
143,SunValleyນັກເກັດໄກ່ 1kg,ອາຫານແຊ່ແຂງ
144,ເສັ້ນເສສວນມັດ500g,ເຄື່ອງແຫ້ງ
145,ຫົວກະທຽມ500g,ຜັກປອດສານພິດ
146,ໄກ່ຈໍ້ 500 ກັມ,ອາຫານສຳເລັດຮູບ
147,ປາເສັ້ນຈັບໂບ້ລົດບາບິຄິວ,ເຂົ້າໜົມ
148,ປາໄຂ່ 500 ກຼາມ,ອາຫານແຊ່ແຂງ
149,ມັນຝຮັ່ງຫຍັກເອັກຕ້າ1kg,ອາຫານແຊ່ແຂງ
150,Orchid ນ້ຳ​ມັນ​ຫວຽດ 2L,ເຄື່ອງປຸງ
151,ສະໂພກໄກ່ຖົງ2kg,ອາຫານແຊ່ແຂງ
152,ນັກເກັດດາວ 300g,ອາຫານສຳເລັດຮູບ
153,ເອິກເປັດລົມຄວນ1kg,ອາຫານແຊ່ແຂງ
154,ປີກບົນຖົງໃສ2kg,ອາຫານແຊ່ແຂງ
155,ເອິກເປັດ,ອາຫານແຊ່ແຂງ
156,ເນີຍຈີດຕາແດນນີ່1/2ປອນ,ອາຫານແຊ່ແຂງ
157,ຫມູຍໍ່ຫນັງ A 500 g,ອາຫານສຳເລັດຮູບ
158,ເປັດເປັນໂຕ,ອາຫານແຊ່ແຂງ
159,ໂອອີຊິລົດຊາດຳໝາກນາວ,ເຄື່ອງດື່ມ
160,ເຕົ້າຫູ້ແຫ້ງເສັ້ນ,ເຄື່ອງແຫ້ງ
161,ນ້ຳພິກແກງເພັດນ້ຳໃຈ100g,ເຄື່ອງປຸງ
162,ເສັ້ນດາເມັນ200g,ປະເພດ-ເສັ້ນ
163,SunValleyຊິກເກັນຕິກ1kg,ອາຫານແຊ່ແຂງ
164,AFMໄສ້ກອກໄກ່500g,ອາຫານແຊ່ແຂງ
165,ເອິກໄກ່ເນື້ອຕິດຫນັງອານາໄມ,ໄກ່ແພັກແບັນ
166,ກະແລ້ມຖົ່ວລຽນ,ອາຫານສຳເລັດຮູບ
167,ເລ່ລົດດັງເດີມຖົງ,ເຂົ້າໜົມ
168,ແມັກກີ້ 200ມລ,ເຄື່ອງປຸງ
169,ເສັ້ນດຳເສສວນຖົງ200g,ເຄື່ອງແຫ້ງ
170,ເລ່ໂມລິສະລາຍກ່ອງ100g,ເຂົ້າໜົມ
171,ໄສ້ກອກຫມູ 500g,ອາຫານສຳເລັດຮູບ
172,ນໍ້າມັນຫອຍນາງລົມ600ml,ເຄື່ອງປຸງ
173,ກະດູກແກງໝູ,ຊີ້ນສົດ
174,AFMໄສ້ກອກຊີດຂຽວ 500ກຼາມ,ອາຫານແຊ່ແຂງ
175,ໝູ​ກະ​ປ່ອງ340g,ອາຫານສຳເລັດຮູບ
176,ເຫັດມະນ້ອຍຖົງຟ້າ200g,ເຫັດ-ສາຫຼ່າຍ
177,ຕີນໄກ່ 1 kg,ໄກ່ - ໄຂ່
178,ລົດດີ ໝູ 800ກຼາມ,ເຄື່ອງປຸງ
179,Mfood ໜ້າເຂົ້າຊອຍ500g,ອາຫານແຊ່ແຂງ
180,ຊອດຫອຍນາງລົມຕາກູດໄຣ່500g,ເຄື່ອງປຸງ
181,ກະດູກຂ້າງໝູ,ຊີ້ນສົດ
182,ຂາຕັ້ງ (ຂາຫລັງໝູ),ຊີ້ນສົດ
183,ເຕົາຮູ້ແຜ່ນ 120ກມ,ເຄື່ອງແຫ້ງ
184,ນໍ້າທິບນ້ອຍ 350ມລ,ເຄື່ອງດື່ມ
185,ລ້ອນສາຍຝົນ 35ກຼາມ,ເຄື່ອງແຫ້ງ
186,ລົດດີ ພະໂລ້ 60ກຼາມ,ເຄື່ອງປຸງ
187,ກະປິ 75ກຼາມ,ເຄື່ອງປຸງ
188,ປາແດກແມ່ບຸນລໍ້າ 400ກຼາມ,ເຄື່ອງປຸງ
189,ແຈ່ວລູກຊີ້ນ (ຝາຂຽວ),ເຄື່ອງປຸງ
190,ເສັ້ນເຜືອກ200g,ເຄື່ອງແຫ້ງ
191,ແປບຊີຕຸກ1225ml,ເຄື່ອງດື່ມ
192,ໂອອີຊິລົດເຂົ້າ,ເຄື່ອງດື່ມ
193,ປາເສັ້ນຈັບໂບ້ລົດຊຸບເປີແຊບ,ເຂົ້າໜົມ
194,ນໍ້າມັນພືດກຸກ 1000ກຼາມ,ເຄື່ອງປຸງ
195,ປາ​ລອນດີ້ແຜ່ນPP 1 kg,ອາຫານແຊ່ແຂງ
196,ໂອອີຊິລົດໝາກນາວ,ເຄື່ອງດື່ມ
197,ຫມີເກົາຫລີບົວຖົງ,ອາຫານສຳເລັດຮູບ
198,ໂອອີຊິລົດດັງເດີມ,ເຄື່ອງດື່ມ
199,ເກືອກາກວຽນໄອໂອດີນເວີນຄຳ 1ກິໂລ,ເຄື່ອງປຸງ
200,ໂລຊ່າ ຊອດໝາກເຂືອເທດ 300ກຼາມ,ເຄື່ອງປຸງ
201,ເເມ໊ກກີ້ສູດຫອມ200g,ເຄື່ອງປຸງ
202,ວິຕາມິນC ເລມອນ,ເຄື່ອງດື່ມ
203,ນົມສົ້ມ ໝາກໜອດ 60ml,ອາຫານສຳເລັດຮູບ
204,ວາຊາບິ E&S,ເຄື່ອງແຫ້ງ
205,ເສັ້ນເຜືອກມ່ວງຫອມ200g,ເຄື່ອງແຫ້ງ
206,ປີກໄກ່ນິວອໍລີນ 300g,ອາຫານສຳເລັດຮູບ
207,ໄມ້ຖູ່100ຄູ່,ເຄື່ອງໃຊ້ທົ່ວໄປ
208,ນ້ຳຕານບວງ 1ກິໂລ,ອາຫານສຳເລັດຮູບ
209,ໝາກ​ນາວ​ໂຊ​ດາ,ເຄື່ອງດື່ມ
210,ຊີ້ນໝູສາມຊັ້ນຕັດຕ່ອນ FREEZE 500 ກຣາມ,ຊີ້ນແພກແບຣນ
211,Polar Bear ໝາກຖົວຍິປຸ່ນ Edamame 1kg,ອາຫານແຊ່ແຂງ
212,ປາກະປ່ອງ3ແມ່ຄົວແພັກ,ອາຫານສຳເລັດຮູບ
213,Orchid ນ້ຳ​ມັນ​ຫວຽດ 1 ml,ເຄື່ອງປຸງ
214,ລ້ອນ​ສາຍ​ຜົນ​ຖົ​ງ​ໃຫຍ່​700g,ເຄື່ອງແຫ້ງ
215,ນ້ຳຈິ້ມໄກ່ຄົວຕະວັນ230g,ເຄື່ອງປຸງ
216,SunValleyປີກໄກ່ກອບດັງເດີມ1kg,ອາຫານແຊ່ແຂງ
217,ໝູຍໍ່ A 1000 g,ອາຫານສຳເລັດຮູບ
218,ນ່ອງໄກ່ເນື້ອຕິດສະໂພກອານາໄມ,ໄກ່ແພັກແບັນ
