ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
1,CP Fresh Shop ດອນໜູນ,01/06/2025,800000086217,8859730600040,ແຈ່ວເສສວນຍົກໂປ້150g,010,ເຄື່ອງປຸງ,154.0,0.0,5.0,0,0,0.0,0.0,0,0,149.0,"ຊນ,ອັນ",10600,1579400.0,-,-
2,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103165,6975964250027,ແຈ່ວເສສວນຈຸ່ມປາ185g,010,ເຄື່ອງປຸງ,120.0,0.0,2.0,0,0,0.0,0.0,0,0,118.0,"ຊນ,ອັນ",12500,1475000.0,-,-
3,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103166,6975749658666,ເສັ້ນມັນດ້າງແດງ240g,008,ເຄື່ອງແຫ້ງ,121.0,0.0,4.0,0,0,0.0,0.0,0,0,117.0,"ຊນ,ອັນ",10000,1170000.0,-,-
4,CP Fresh Shop ດອນໜູນ,01/06/2025,800000102119,8858836201205,ເຫັດເຂັມຖົງຂຽວ,804,ເຫັດ-ສາຫຼ່າຍ,128.0,0.0,12.0,0,0,0.0,0.0,0,0,116.0,"ຊນ,ອັນ",6400,742400.0,-,-
5,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084456,8857110760155,ພິກໄທປົ່ນ ຈັນທະບູລີ30ກຼາມ,010,ເຄື່ອງປຸງ,96.0,0.0,1.0,0,0,0.0,0.0,0,0,95.0,"ຊນ,ອັນ",2688,255360.0,-,-
6,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084343,8857107981402,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ,012,ອາຫານສຳເລັດຮູບ,88.0,0.0,6.0,0,0,0.0,0.0,0,0,82.0,"ຊນ,ອັນ",8500,697000.0,-,-
7,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084506,8850180040011,ແປ້ງໂກກິ 150ກຼາມ,010,ເຄື່ອງປຸງ,81.0,0.0,1.0,0,0,0.0,0.0,0,0,80.0,"ຊນ,ອັນ",9931,794480.0,-,-
8,CP Fresh Shop ດອນໜູນ,01/06/2025,800000155539,10012025,ກ້ຽວ500g,007,ອາຫານແຊ່ແຂງ,80.0,0.0,1.0,0,0,0.0,0.0,0,0,79.0,"ຊນ,ອັນ",18000,1422000.0,-,-
9,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107248,8850026209244,ປາກະປ໋ອງແປ 125ກ,008,ເຄື່ອງແຫ້ງ,79.0,0.0,3.0,0,0,0.0,0.0,0,0,76.0,"ຊນ,ອັນ",12480,948480.0,-,-
10,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103164,6975964250010,ແຈ່ວເສສວນນ້ຳມັນກຸ້ງ 150g,010,ເຄື່ອງປຸງ,72.0,0.0,2.0,0,0,0.0,0.0,0,0,70.0,"ຊນ,ອັນ",10000,700000.0,-,-
11,CP Fresh Shop ດອນໜູນ,01/06/2025,800000122563,6975636680039,ຟອງເຕົາຫູ້ຖົງຂຽວ,008,ເຄື່ອງແຫ້ງ,69.0,0.0,1.0,0,0,0.0,0.0,0,0,68.0,"ຊນ,ອັນ",21875,1487500.0,-,-
12,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107247,8851123240116,M150,009,ເຄື່ອງດື່ມ,60.0,0.0,1.0,0,0,0.0,0.0,0,0,59.0,"ຊນ,ອັນ",6128,361552.0,-,-
13,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084377,6970115986374,ແຈ່ວເສສວນຈີນງົວເຂັ້ມຂຸ່ມ 150g,012,ອາຫານສຳເລັດຮູບ,51.0,0.0,1.0,0,0,0.0,0.0,0,0,50.0,"ຊນ,ອັນ",19125,956250.0,-,-
14,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103163,6957599502474,ເສັ້ນມັນດ້າງຈຸ່ມເສັ້ນແປ250g,010,ເຄື່ອງປຸງ,51.0,0.0,2.0,0,0,0.0,0.0,0,0,49.0,"ຊນ,ອັນ",15667,767683.0,-,-
