รหัสสินค้า,ชื่อสินค้า
800000086217,ແຈ່ວເສສວນຍົກໂປ້150g
800000103165,ແຈ່ວເສສວນຈຸ່ມປາ185g
800000103166,ເສັ້ນມັນດ້າງແດງ240g
800000102119,ເຫັດເຂັມຖົງຂຽວ
800000084456,ພິກໄທປົ່ນ ຈັນທະບູລີ30ກຼາມ
800000084343,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ
800000084506,ແປ້ງໂກກິ 150ກຼາມ
800000155539,ກ້ຽວ500g
800000107248,ປາກະປ໋ອງແປ 125ກ
800000103164,ແຈ່ວເສສວນນ້ຳມັນກຸ້ງ 150g
800000122563,ຟອງເຕົາຫູ້ຖົງຂຽວ
800000107247,M150
800000084377,ແຈ່ວເສສວນຈີນງົວເຂັ້ມຂຸ່ມ 150g
800000103163,ເສັ້ນມັນດ້າງຈຸ່ມເສັ້ນແປ250g
800000084310,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່)
800000147726,ແປ້ງນົວກາຖ້ວຍ 250g
800000084369,pfpເຕົ້າຫູ້ປາລູກເຕົາ 500g
800000199229,ກາໂຕະລົດສະຕໍເບີລີ320ml
800000101352,PFP ເຕົ້າຮູ້ຊີດ500g
800000084459,ຟ້າໄທນໍ້າໃສ 350ມລ
800000169015,ກາໂຕະລົດລີ້ນຈີ່320ml
2255121207,ຊິ້ນໝູສາມຊັ້ນ
2255121489,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ
800000084320,ກະປິຫມາກນາວ 200ກຼາມ
800000247064,ແຈ່ວຄຸນນັດ250g
800000101892,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ)
800000084219,NVນົມສະໄລ້A300ກຼາມ
2255121615,ຊີ້ນສັນຄໍໝູສະໄລ້ WF(TS) 500 ກຣາມ
800000101497,ປູອັດເບັນໂຕະ 250ກຮາມ
800000143078,Mfoodແຈ່ວຊີຟູດ
2255121205,ສັນນອກໝູ
800000101360,ປູອັດTVI500g
2255121521,ຕີນໝູຕັດ
800000084503,ແປ້ງນົວ250ກຮາມ
800000109612,ເກັກຮວຍປ່ອງແດງ
800000084247,ຜັກບົ້ງ 300ກຼາມ
800000101381,NVເສືອຮ້ອງໄຫ້ແພັກສະໄລ 300g
800000084418,ຊອດຫອຍແມ່ຄົວ 150 ມລ
800000084193,"ນໍ້າທິບ ແພັກໃຫຍ່ 1,5L"
2255120402,ໝູນຸ້ມໝັກພິກໄທດຳ 500g
800000155537,ໄສ້ກອກລົດໄຟ700g
2255121487,ສັນຄໍໝູສະໄລ້ WARP FREEZE 250 ກຣາມ
800000212436,ລົດດີຜົງລົດໝູ70g
800000084392,ປາຊາບະຮົມຄວັນ 125ກຼາມ
800000101380,NVເສືອຮ້ອງໄຫ້ອົດສະຕາລີ500g
800000084537,ເຫັດຫິມະ 200g
800000197588,ນ້ຳ​ປາ​ຫວຽດ750ml
800000084278,ກະແລ້ມກະທິ
2255120443,ລູກຊີ້ນເອັນ 500g
800000084411,ຄະນໍຜົງລົດໝູ 400g
800000103617,ຜັກກາດຂາວ
2255120346,ຫມູທອດ 1000g
2255120400,ໝູນຸ້ມໝັກນ້ຳມັນງາ 500g
2255121204,ສັນຄໍໝູ
800000102050,ເຫັດຫຼວງ500g
800000107280,ນ້ຳຕານແດງ1kg
2220354303,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3
800000107704,ປີກກາງຖົງ2kg
2255121283,ກະດູກສັນຫລັງ
800000084485,ແຈ່ວພັນທ້າຍ 342 ກຼາມ
800000101378,NVນົມໝູສະໄລ້A 500g
800000084277,CP ຊຸດຈຸ່ມພີມ້ຽນ
800000084318,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g
800000084495,ແຈ່ວສຸກີ້ແມ່ທອນ 500g
800000084283,ກະແລ້ມໝາກໜອດ
800000107254,ວິຕາມິນC ນ້ຳສົ້ມ
800000126557,Mfoodແຈ່ວດາດ_ຈຸ່ມ500g
800000103440,ແຈ່ວສຸກີ້ແມ່ທອນ 750g
